name	URL	published at	category	notes
breathe	https://pypi.python.org/pypi/breathe	PyPI	autodoc	read and render Doxygen xml output
collective.sphinx.autoatschema	https://pypi.python.org/pypi/collective.sphinx.autoatschema	PyPI	autodoc	Archetypes schemas
collective.sphinx.includedoc	https://pypi.python.org/pypi/collective.sphinx.includedoc	PyPI	autodoc	for including doctests
django-giza	https://pypi.python.org/pypi/django-giza	PyPI	autodoc	autodoc for django projects
django-sphinx-autodoc	https://pypi.python.org/pypi/django-sphinx-autodoc	PyPI	autodoc	autodoc for django projects
docit	https://pypi.python.org/pypi/docit	PyPI	autodoc	controll autodoc or not by decorator
dqn	https://pypi.python.org/pypi/dqn	PyPI	autodoc	create ReST files for sphinx from source code
gir2rst	https://pypi.python.org/pypi/gir2rst	PyPI	autodoc	create Sphinx documentation from GObject-Introspection files.
horae.sphinx.grok	https://pypi.python.org/pypi/horae.sphinx.grok	PyPI	autodoc	autodoc directives for grok projects
motechjavasphinx	https://pypi.python.org/pypi/motechjavasphinx	PyPI	autodoc	invoke javasphinx on build docs
plot2rst	http://tonysyu.github.io/mpltools/auto_examples/sphinx/plot_plot2rst.html	misc	autodoc	converts a normal python file into reStructuredText. All strings in the python file are converted into regular reStructuredText, while all python code is converted into code blocks.
repoze.sphinx.autointerface	https://pypi.python.org/pypi/repoze.sphinx.autointerface	PyPI	autodoc	auto-generates API docs from Zope interfaces
schema2rst	https://pypi.python.org/pypi/schema2rst	PyPI	autodoc	generates reST doc from database schema
sphinx-api-any	https://github.com/tlamadon/sphinx-api-any	github	autodoc	extracts content from source files into rst files
sphinx-argparse	https://pypi.python.org/pypi/sphinx-argparse	PyPI	autodoc	autodoc for argparse
sphinx-autodoc-annotation	https://pypi.python.org/pypi/sphinx-autodoc-annotation	PyPI	autodoc	Enhance autodoc; refer functional annotations
sphinxcontrib-autoanysrc	https://pypi.python.org/pypi/sphinxcontrib-autoanysrc	PyPI	autodoc	some autodoc features for any sources
sphinxcontrib-autojs	https://pypi.python.org/pypi/sphinxcontrib-autojs	PyPI	autodoc	include docstring in JS
sphinxcontrib-autoprogram	https://pypi.python.org/pypi/sphinxcontrib-autoprogram	PyPI	autodoc	autodoc for argparse
sphinxcontrib-cmtinc	https://pypi.python.org/pypi/sphinxcontrib-cmtinc	PyPI	autodoc	include comments (starts with '/**') from source
sphinxcontrib-cqlengine	https://pypi.python.org/pypi/sphinxcontrib-cqlengine	PyPI	autodoc	embed structure of sqlengine models
sphinxcontrib-pecanwsme	https://pypi.python.org/pypi/sphinxcontrib-pecanwsme	PyPI	autodoc	docs for built with Pecan and WSME
sphinxcontrib-robotdoc	https://pypi.python.org/pypi/sphinxcontrib-robotdoc	PyPI	autodoc	insert Robot Framework test suites, test cases, or user keywords
sphinxcontrib-zopeext	https://pypi.python.org/pypi/sphinxcontrib-zopeext	PyPI	autodoc	autodoc for zope interface
sphinxcontrib.infrae	https://pypi.python.org/pypi/sphinxcontrib.infrae	PyPI	autodoc	Zope event and interfaces
tk.phpautodoc	https://pypi.python.org/pypi/tk.phpautodoc	PyPI	autodoc	autodoc for phpdoc
hieroglyph	https://pypi.python.org/pypi/hieroglyph	PyPI	builders	HTML5 slides builder
sffms	https://pypi.python.org/pypi/sffms	PyPI	builders	sffms builder; sffms is a LaTeX document class for typesetting fiction manuscripts
sphinx-behat	https://github.com/dantleech/sphinx-behat	github	builders	behat builder and roles
sphinx-contrib/context	https://bitbucket.org/birkenfeld/sphinx-contrib	bitbucket	builders	ConTeXt builder
sphinx-contrib/omegat	https://bitbucket.org/birkenfeld/sphinx-contrib	bitbucket	builders	OmegaT builder
sphinx-docxbuilder	https://bitbucket.org/haraisao/sphinx-docxbuilder/	bitbucket	builders	docx builder
sphinxcontrib-dashbuilder	https://pypi.python.org/pypi/sphinxcontrib-dashbuilder	PyPI	builders	dash builder
sphinxcontrib-docbookrestapi	https://pypi.python.org/pypi/sphinxcontrib-docbookrestapi	PyPI	builders	DocBook builder
sphinxcontrib-docxbuilder	https://bitbucket.org/shimizukawa/sphinxcontrib-docxbuilder/src	bitbucket	builders	
sphinxcontrib-menesbuilder	https://pypi.python.org/pypi/sphinxcontrib-menesbuilder	PyPI	builders	menes-PDF generator (PDF generation service)
sphinxcontrib-restbuilder	https://pypi.python.org/pypi/sphinxcontrib-restbuilder	PyPI	builders	reST builder
changelog	https://pypi.python.org/pypi/changelog	PyPI	changelog/version-control	changelog directives
collective.sphinx.includechangelog	https://pypi.python.org/pypi/collective.sphinx.includechangelog	PyPI	changelog/version-control	Include changelog extracted from egg information
releases	https://pypi.python.org/pypi/releases	PyPI	changelog/version-control	release roles
sphinx-git	https://pypi.python.org/pypi/sphinx-git	PyPI	changelog/version-control	include git changelog
sphinx-patchqueue	https://pypi.python.org/pypi/sphinx-patchqueue	PyPI	changelog/version-control	include mercurial patches or queue
sphinxcontrib-bitbucket	https://pypi.python.org/pypi/sphinxcontrib-bitbucket	PyPI	changelog/version-control	roles for bitbucket issues and changesets
sphinxcontrib-github	https://pypi.python.org/pypi/sphinxcontrib-github	PyPI	changelog/version-control	roles for github pull requests and repos
sphinxcontrib-issuetracker	https://pypi.python.org/pypi/sphinxcontrib-issuetracker	PyPI	changelog/version-control	issue role supports github, bitbucket and so on
sphinxcontrib-mercurial	https://pypi.python.org/pypi/sphinxcontrib-mercurial	PyPI	changelog/version-control	insert changelog of mercurial
sphinxcontrib-releasenotes	https://github.com/gosyujin/sphinxcontrib-releasenotes	github	changelog/version-control	merge git log and reST markups into releasenote
sphinxcontrib-exceltable	https://pypi.python.org/pypi/sphinxcontrib-exceltable	PyPI	data-sources	insert table using xls file
sphinxcontrib-htsql	https://pypi.python.org/pypi/sphinxcontrib-htsql	PyPI	data-sources	execute HTSQL and include its result
sphinxcontrib-sqltable	https://pypi.python.org/pypi/sphinxcontrib-sqltable	PyPI	data-sources	build table from database
catkin-sphinx	https://pypi.python.org/pypi/catkin-sphinx	PyPI	domains	cmake domain and catkin theme
dragon-sphinx	https://pypi.python.org/pypi/dragon-sphinx	PyPI	domains	task domain
ext_anon_domain.py	https://gist.github.com/shimizukawa/4181015	gist	domains	Anonymous domain
javasphinx	https://pypi.python.org/pypi/javasphinx/	PyPI	domains	java domain and autodoc for java
sphinx-contrib/rubydomain	https://bitbucket.org/birkenfeld/sphinx-contrib	bitbucket	domains	Ruby domain
sphinx-eldomain	https://github.com/tkf/sphinx-eldomain	github	domains	Emacs Lisp domain
sphinx-fortran-extension	https://github.com/paulromano/sphinx-fortran-extension	github	domains	Fortran domain
sphinx-http-domain	https://pypi.python.org/pypi/sphinx-http-domain	PyPI	domains	HTTP domain (for RESTful API docs)
sphinx-php	https://github.com/fabpot/sphinx-php	github	domains	PHP domain and helper directives
sphinxcontrib-adadomain	https://pypi.python.org/pypi/sphinxcontrib-adadomain	PyPI	domains	Ada domain
sphinxcontrib-cldomain	https://pypi.python.org/pypi/sphinxcontrib-cldomain	PyPI	domains	Common Lisp domain
sphinxcontrib-cmakedomain	https://pypi.python.org/pypi/sphinxcontrib-cmakedomain	PyPI	domains	cmake domain
sphinxcontrib-coffee	https://pypi.python.org/pypi/sphinxcontrib-coffee	PyPI	domains	CoffeeScript domain
sphinxcontrib-domaintools	https://pypi.python.org/pypi/sphinxcontrib-domaintools	PyPI	domains	helper library for sphinx domains
sphinxcontrib-dqndomain	https://pypi.python.org/pypi/sphinxcontrib-dqndomain	PyPI	domains	dqn domain
sphinxcontrib-emacs	https://pypi.python.org/pypi/sphinxcontrib-emacs	PyPI	domains	Emacs Lisp domain
sphinxcontrib-erlangdomain	https://pypi.python.org/pypi/sphinxcontrib-erlangdomain	PyPI	domains	Erlang domain
sphinxcontrib-golangdomain	https://pypi.python.org/pypi/sphinxcontrib-golangdomain	PyPI	domains	Golang domain
sphinxcontrib-httpdomain	https://pypi.python.org/pypi/sphinxcontrib-httpdomain	PyPI	domains	HTTP domain (for RESTful API docs)
sphinxcontrib-jinjadomain	https://pypi.python.org/pypi/sphinxcontrib-jinjadomain	PyPI	domains	Jinja template domain
sphinxcontrib-lassodomain	https://pypi.python.org/pypi/sphinxcontrib-lassodomain	PyPI	domains	Lasso domain
sphinxcontrib-makedomain	https://pypi.python.org/pypi/sphinxcontrib-makedomain	PyPI	domains	make domain
sphinxcontrib-matlabdomain	https://pypi.python.org/pypi/sphinxcontrib-matlabdomain	PyPI	domains	MATLAB domain and autodoc
sphinxcontrib-operationdomain	https://pypi.python.org/pypi/sphinxcontrib-operationdomain	PyPI	domains	Operation domain
sphinxcontrib-phpdomain	https://pypi.python.org/pypi/sphinxcontrib-phpdomain	PyPI	domains	PHP domain
sphinxcontrib-scaladomain	https://pypi.python.org/pypi/sphinxcontrib-scaladomain	PyPI	domains	Scala domain
sphinxcontrib-specdomain	https://pypi.python.org/pypi/sphinxcontrib-specdomain	PyPI	domains	SPEC domain
sphinxcontrib-waspdomain	https://pypi.python.org/pypi/sphinxcontrib-waspdomain	PyPI	domains	a domain for the Wasp Scripting Language
sphinxcontrib-cheader	https://pypi.python.org/pypi/sphinxcontrib-cheader	PyPI	domains	
cartouche	https://pypi.python.org/pypi/cartouche	PyPI	enhancement	support google style docstrings
configurableinclude.py	https://gist.github.com/j0nes2k/8672186	gist	enhancement	enhance include directive relative from configured path
hiddencode	https://github.com/scopatz/hiddencode/	github	enhancement	enhance code-block switching hidden/shown
japanesesupport	http://blog.shibu.jp/article/40049067.html#comment	misc	enhancement	truncate whitespaces between japanese words
japanesesupport	https://bitbucket.org/hinaclegear/attachments/src/d96905ddfbb80c19bd5e26954f0f715f8cf298a2/20120113_japanesesupport.py?at=default	bitbucket	enhancement	truncate whitespaces between japanese words
japanesesupport	https://bitbucket.org/sphinxjp/goodies/src/86cd22393f/exts/japanesesupport/	misc	enhancement	truncate whitespaces between japanese words
NamedNoteDirective	https://gist.github.com/shimizukawa/2927d6ef049fe39fc3c4	gist	enhancement	column directive
numpydoc	https://pypi.python.org/pypi/numpydoc	PyPI	enhancement	support numpy style docstrings, add plot directive (for matplotlib)
orgtblfilter	https://pypi.python.org/pypi/orgtblfilter	PyPI	enhancement	support orgtbl notation (for emacs users)
sphihxcontrib_markdown	https://gist.github.com/tk0miya/31b553b4bd4bf987731e	gist	enhancement	use markdown as input of Sphinx
sphinx-classy-code	https://pypi.python.org/pypi/sphinx-classy-code	PyPI	enhancement	enhance code-block directive adding arbitrary CSS classes per line
sphinx-markdown-transform	https://github.com/ericholscher/sphinx-markdown-transform	github	enhancement	turning Markdown-style links into RST links:
sphinx-numfig	https://bitbucket.org/arjones6/sphinx-numfig	bitbucket	enhancement	assign figure numbers
sphinx-paramlinks	https://pypi.python.org/pypi/sphinx-paramlinks	PyPI	enhancement	Allows param links in Sphinx function/method descriptions to be linkable
sphinxcontrib_fancybulletlist	https://gist.github.com/tk0miya/4037204	gist	enhancement	Convert nested bullet list without blank line to correct one
sphinxcontrib_markdown	https://gist.github.com/tk0miya/4336929	gist	enhancement	use markdown as input of Sphinx
sphinxcontrib_remoteinclude	https://gist.github.com/tk0miya/4130196	gist	enhancement	literalinclude for remote files
sphinxcontrib_section_autoref	https://gist.github.com/tk0miya/4036201	gist	enhancement	Add link-target labels to every sections automatically
sphinxcontrib_wikitable.py	https://gist.github.com/tk0miya/3423680	gist	enhancement	wikitable directive
sphinxcontrib-css3image	https://pypi.python.org/pypi/sphinxcontrib-css3image	PyPI	enhancement	enhance image directive supporting CSS3
sphinxcontrib-fancybox	https://pypi.python.org/pypi/sphinxcontrib-fancybox	PyPI	enhancement	enhance image directive using fancybox (deprecated)
sphinxcontrib-getthecode	https://pypi.python.org/pypi/sphinxcontrib-getthecode	PyPI	enhancement	enhance litralinclude generating header having filename, icon and download link
sphinxcontrib-images	https://pypi.python.org/pypi/sphinxcontrib-images	PyPI	enhancement	enhance image directive using lightbox2
sphinxcontrib-inlinesyntaxhighlight	https://pypi.python.org/pypi/sphinxcontrib-inlinesyntaxhighlight	PyPI	enhancement	enhance :code: role with highlighting
sphinxcontrib-japanese-text-join	https://pypi.python.org/pypi/sphinxcontrib-japanese-text-join	PyPI	enhancement	drop unnecessary spaces which generated from return-codes
sphinxcontrib-mockautodoc	https://pypi.python.org/pypi/sphinxcontrib-mockautodoc	PyPI	enhancement	enhance automodule directive importing mocks to resolve dependency
sphinxcontrib-napoleon	https://pypi.python.org/pypi/sphinxcontrib-napoleon	PyPI	enhancement	support google style and numpy style docstrings
sphinxjp.themecore	https://pypi.python.org/pypi/sphinxjp.themecore	PyPI	enhancement	theme plugin (deprecated)
